,D,Nombre,Min,P,T2,T2%,T3,T3%,T1,T1%,REB T,REB D+O,A,BR,BP,C,TAP F,TAP C,TAP M,FP F,FP C,+/-,V
0,*3,J. Senglin,25:56,10,2/3,67%,2/3,67%,0/0,0%,2,1+1,0,0,0,2,0,0,0,3,1,-10,8
1,5,M. Garcia,18:27,20,4/4,100%,2/3,67%,6/7,86%,4,3+1,0,0,1,2,0,0,0,2,5,9,24
2,7,R. Macoha,12:27,2,1/2,50%,0/0,0%,0/2,0%,2,1+1,0,1,0,2,0,0,0,1,2,9,3
3,11,C. Hannah,16:25,10,2/3,67%,1/3,33%,3/3,100%,2,1+1,4,0,2,0,0,0,0,1,4,-2,14
4,*14,D. Ristic,31:13,23,10/17,59%,1/4,25%,0/0,0%,12,6+6,1,1,0,2,0,1,1,2,1,0,25
5,21,J. Fernández,13:38,0,0/3,0%,0/1,0%,0/0,0%,1,1+0,0,0,2,0,0,0,0,3,0,-8,-8
6,*24,L. Kromah,22:04,12,2/4,50%,0/2,0%,8/10,80%,2,1+1,1,1,2,0,1,0,0,3,5,2,11
7,*30,J. Novak,24:41,12,5/7,71%,0/0,0%,2/2,100%,4,2+2,13,2,2,4,0,0,0,3,2,4,26
8,31,C. Eyenga,24:59,9,2/2,100%,0/0,0%,5/7,71%,0,0+0,3,3,0,2,0,0,1,0,5,7,18
9,33,J. Beirán, , , , , , , , , , , , , , , , , , , , , 
10,*76,B. Bagayoko,01:23,0,0/0,0%,0/0,0%,0/0,0%,0,0+0,0,0,0,0,0,0,0,0,0,5,0
11,97,V. Okouo,08:47,3,1/2,50%,0/0,0%,1/2,50%,2,1+1,0,0,1,0,0,0,0,1,1,4,2
12, ,Equipo, , , , , , , , ,5,4+1, ,3,1, , , , ,1,0, ,6
13, ,Total,200:00,101,29/47,62%,6/16,38%,25/33,76%,36,21+15,22,11,11,14,1,1,2,20,26,20,129
